Dataset,Status,Vintage,Variable,URL,Notes
County population,Observed,2020 Census PL 94-171,P1_001N,https://api.census.gov/data/2020/dec/pl,Total population for all Florida counties.
Median household income,Observed estimate,2021 ACS 5-year,B19013_001E,https://api.census.gov/data/2021/acs/acs5,Income is expressed in 2021 inflation-adjusted dollars.
County land area and internal point,Observed,2020 Census Gazetteer,"ALAND_SQMI, INTPTLAT, INTPTLONG",https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_counties_national.zip,Land area is used to derive population density.
"Gym locations, ratings, and reviews",Observed API results,Google Places API (New); retrieval date recorded in run metadata,"Place ID, name, county, coordinates, rating, and rating count",https://developers.google.com/maps/documentation/places/web-service/text-search,"County-by-county branded Text Search with exact-county filtering and Place ID deduplication. The tracked competitor set is Planet Fitness, YouFit, Gold's Gym, and Orangetheory Fitness; 24 Hour Fitness was removed because it no longer operates in Florida. Results reflect Google's response at retrieval time and may not be exhaustive. YouFit's official Florida directory is used as a cross-check."
YouFit Florida directory cross-check,Observed official directory,Retrieved at run time,Florida location names and addresses,https://youfit.com/locations/florida,Used to validate the replacement competitor's Florida footprint; the analysis uses exact-county Google Places records for location counts.
Membership prices - official local observations,Observed advertised plan prices,Official collection run; retrieval time stored in the pricing file,"Plan dues, billing frequency, initiation fee, annual fee, and effective monthly cost",data/gym_membership_pricing.csv,One entry-level advertised plan is selected per observed local club for the county target. The long file retains all collected plans and source URLs for auditability.
County centroids for nearby price estimates,Observed,2020 Census Gazetteer,"CountyName, Latitude, Longitude",https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2020_Gazetteer/2020_Gaz_counties_national.zip,Centroid-to-centroid distance is used to identify the three nearest counties with observed local price offers.
LA Fitness official rate source,Observed official club offers,Retrieved at run time,"Club-specific Basic, Classic, and Premier plan prices",https://www.lafitness.com/Pages/MembershipSignUpSearch.aspx,Rates are collected through the public club-specific signup flow.
Planet Fitness official rate source,Observed chainwide published starting rates,Retrieved at run time,Classic and PF Black Card published starting rates,https://www.planetfitness.com/gym-memberships/,The chain states that local franchise prices vary; these rates are retained as a non-county baseline and excluded from county averages.
YouFit official rate source,Observed official enrollment API results,Retrieved at run time,Club-specific membership plans and scheduled dues,https://youfit.com/locations/florida,The public enrollment app exposes the club plans through its official API; biweekly dues are converted to a monthly equivalent.
Gold's Gym official rate source,Observed official local enrollment offers where publicly exposed,Retrieved at run time,"Local plan dues, frequency, enrollment, and annual fees",https://www.goldsgym.com/locations/fl/,Franchise enrollment pages differ; inaccessible or non-public rate pages remain flagged in the pricing audit.
Orangetheory official rate source,Observed official studio offers,Retrieved at run time,"Studio-specific Basic, Elite, and Premier monthly prices",https://www.orangetheory.com/en-us/locations,The official studio pages expose local product prices; promotional first-month amounts are stored separately from standard dues.
MembershipPrice county estimate,Observed where local offers exist; estimated otherwise,Current official price collection,MembershipPrice,data/membership_prices.csv,Counties without a local public price observation use an inverse-distance weighted estimate from the three nearest counties with observed local offers; no predictor-based synthetic formula is used.
